time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.030492,0.041451,-6.997603,-5.244836
0.063488,1.413976,-6.416390,-6.635318
0.096821,0.362286,-7.392661,-8.063809
0.130176,-1.157937,-7.040252,-5.082922
0.163513,-2.079588,-6.091815,-2.228483
0.196976,2.729637,-9.729335,-4.007588
0.230359,-4.430778,-5.061373,-3.647846
0.263536,-4.530739,-4.020457,-3.391957
0.296859,-5.310529,-2.499187,-3.038051
0.330307,-5.559834,0.939907,-5.270574
0.363523,-3.625549,1.514237,-0.926439
0.397084,-4.395013,3.648594,-0.701077
0.430275,-12.131254,2.525524,-1.875176
0.463519,-12.070200,3.343921,-0.728612
0.497053,-12.158489,4.344584,-0.573581
0.530435,-16.155453,4.124609,-5.026507
0.563552,-17.697673,4.364785,-4.263477
0.597165,-17.025626,5.354225,-5.337764
0.630127,-18.177877,5.290776,-8.657593
0.663539,-19.538431,4.293256,-8.453929
0.696823,-17.059446,4.423745,-9.242397
0.730148,-21.196026,2.296121,-9.471351
0.763525,-20.805457,-0.710804,-4.998972
0.796830,-18.299237,-1.384646,-2.177604
0.830292,-13.523083,-0.654239,-4.914574
0.863528,-12.377716,-1.484159,-3.286907
0.896958,-11.465044,-1.554940,-2.244943
0.930211,-11.541661,-0.536620,-1.578883
0.963527,-13.191624,0.737291,-0.751208
0.996905,-14.338189,1.947603,-0.349416
1.030238,-13.810248,3.023087,-0.139018
1.063594,-12.647672,3.340928,-0.135277
1.096973,-12.701244,4.423894,1.387789
1.130272,-11.066694,4.943006,1.481316
1.163526,-10.853902,4.941360,0.106546
1.196876,-11.047690,5.747935,-0.558467
1.230382,-10.622704,6.247144,-1.732267
1.263521,-10.450016,6.792443,-1.779404
1.296938,-9.462223,6.632475,-1.145217
1.330290,-8.099125,5.736712,-0.447432
1.363736,-6.813692,5.119584,-0.546646
1.396859,-6.615415,5.328935,-0.008829
1.430222,-5.968210,4.888835,0.044294
1.463530,-6.451856,4.955277,-0.889029
1.496886,-7.254690,5.066461,-1.607315
1.530297,-8.473382,5.025758,-2.248834
1.563559,-8.848687,4.652399,-1.784791
1.596860,-9.086469,3.817242,-2.032451
1.630308,-8.357708,2.930757,-1.889392
1.663558,-9.035441,2.803112,-2.142288
1.696882,-9.501878,2.884667,-2.490956
1.730392,-10.486529,2.960087,-1.547757
1.763521,-11.753556,3.111227,-0.936765
1.797024,-12.213259,2.323506,-0.772756
1.830214,-13.622446,1.538329,-0.394608
1.863544,-14.405378,1.661186,-0.366775
1.896927,-14.904587,1.141925,-0.541857
1.930147,-15.051537,1.821155,-2.584633
1.963526,-14.919252,1.159134,-3.666402
1.996955,-13.060836,0.638377,-2.172367
2.030127,-11.528792,2.252426,-0.667707
2.063526,-12.777862,3.754841,-2.113108
2.096875,-13.839878,4.377355,-1.438967
2.130165,-12.615050,4.115929,-0.985399
2.163542,-11.684271,4.264974,-1.170357
2.196877,-10.068127,4.448586,-1.822501
2.230186,-9.134804,4.823142,-2.831245
2.263541,-8.445848,4.672751,-2.346850
2.296937,-7.308562,4.458312,-1.529800
2.330216,-6.075055,4.450531,-1.204775
